ID,Subtype,GPSC,ST,Country,Affiliation,Latitude,Longitude
ERR1065119,19A-I,17,2062,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR1065147,19A-I,17,2062,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR1065174,19A-I,17,2062,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR1065213,19A-I,17,2062,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR1065216,19A-I,17,2062,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR1065311,19A-I,17,2062,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR1065319,19A-I,17,11065,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR1065335,19A-I,17,6121,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR1065343,19A-I,17,6121,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR1065378,19A-I,17,6121,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR1065402,19A-I,17,2062,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR1065411,19A-I,17,2062,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR1065415,19A-I,17,2062,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR1065453,19A-I,17,2062,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR1065457,19A-I,17,11076,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR1065485,19A-I,17,6121,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR1065490,19A-I,17,2062,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR1065555,19A-I,17,2062,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR1065563,19A-I,17,4872,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR1065591,19A-I,307,5282,NEPAL,Gladstone,27.71667,85.36667
ERR1065649,19A-I,17,4872,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR1065659,19A-I,17,11678,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR1065667,19A-I,17,2062,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR1065668,19A-I,17,11085,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR1065674,19A-II,14,8337,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR1065679,19A-I,17,7903,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR1065692,19A-II,14,2059,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR1065714,19A-I,17,2062,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR1065717,19A-I,17,2062,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR1065745,19A-I,17,2062,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR1065794,19A-I,17,2062,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR1065820,19A-I,17,4873,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR1065841,19A-I,17,2062,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR1065895,19A-I,17,2062,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR1065958,19A-I,17,11085,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR1065988,19A-I,17,2062,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
